brand,size,color,upc,sku
UTC Wire,Large,Gold,053526379686,939-379686
UTC Wire,Large,Golden Olive,053526379723,939-379723
UTC Wire,Large,Gray,053526379518,939-379518
UTC Wire,Large,Green Metallic,053526379570,939-379570
UTC Wire,Large,Gun Metal Blue,053526379815,939-379815
UTC Wire,Large,Hot Orange Metallic,053526379662,939-379662
UTC Wire,Large,Hot Yellow Metallic,053526379655,939-379655
UTC Wire,Large,Olive,053526379785,939-379785
UTC Wire,Large,Pink,053526379808,939-379808
UTC Wire,Large,Purple,053526379730,939-379730
UTC Wire,Large,Red Metallic,053526379563,939-379563
UTC Wire,Large,Rust,053526379631,939-379631
UTC Wire,Large,Sculpin Olive,053526379747,939-379747
UTC Wire,Large,Silver,053526379693,939-379693
UTC Wire,Large,Tan,053526379716,939-379716
UTC Wire,Large,White,053526379648,939-379648
UTC Wire,Large,Wine Metallic,053526379556,939-379556
UTC Wire,XS,Amber,053526398229,939-398229
UTC Wire,XS,Black,762820074530,939-07453
UTC Wire,XS,Chartreuse Metallic,053526398175,939-398175
UTC Wire,XS,Copper,762820074486,939-07448
UTC Wire,XS,Gold,762820074554,939-07455
UTC Wire,XS,Green Metallic,053526398076,939-398076
UTC Wire,XS,Gun Metal Blue,053526398274,939-398274
UTC Wire,XS,Red,762820074509,939-07450
UTC Wire,XS,Silver,762820074561,939-07456
Veevus,6/0,Black,762820145124,939-14512
Veevus,6/0,Brown,762820157929,939-15792
Veevus,6/0,Fluorescent Green,762820153402,939-15340
Veevus,6/0,Fluorescent Orange,762820153396,939-15339
Veevus,6/0,Fluorescent Yellow Chartreuse,762820153389,939-15338
Veevus,6/0,Light Cahill,762820148637,939-14863
Veevus,6/0,Light Olive,762820157936,939-15793
Veevus,6/0,Olive,762820157912,939-15791
Veevus,6/0,Pink,762820148644,939-14864
Veevus,6/0,Red,762820145131,939-14513
Veevus,6/0,Rusty Brown,762820148651,939-14865
Veevus,6/0,Silver Doctor Blue,762820148668,939-14866
Veevus,6/0,White,762820145148,939-14514
Veevus,8/0,Black,762820145452,939-14545
Veevus,8/0,Brown,762820148736,939-14873
Veevus,8/0,Fluorescent Green,762820153372,939-15337
Veevus,8/0,Fluorescent Orange,762820153365,939-15336
Veevus,8/0,Fluorescent Yellow Chartreuse,762820153358,939-15335
Veevus,8/0,Light Cahill,762820148675,939-14867
Veevus,8/0,Light Olive,762820157905,939-15790
Veevus,8/0,Olive,762820148682,939-14868
Veevus,8/0,Orange,762820148699,939-14869
Veevus,8/0,Pink,762820148705,939-14870
Veevus,8/0,Purple,762820149627,939-149627
Veevus,8/0,Red,762820145162,939-14516
Veevus,8/0,Rusty Brown,762820148712,939-14871
Veevus,8/0,Tan,762820148729,939-14872
Veevus,8/0,White,762820145179,939-14517
Veevus,10/0,Black,762820145186,939-14518
Veevus,10/0,Brown,762820148538,939-14853
Veevus,10/0,Fluorescent Green,762820153341,939-15334
Veevus,10/0,Fluorescent Orange,762820153334,939-15333
Veevus,10/0,Fluorescent Yellow Chartreuse,762820153327,939-15332
Veevus,10/0,Hot Orange,762820148460,939-14846
Veevus,10/0,Light Cahill,762820148477,939-14847
Veevus,10/0,Olive,762820148484,939-14848
Veevus,10/0,Orange,762820148491,939-14849
Veevus,10/0,Pink,762820148507,939-14850
Veevus,10/0,Purple,762820149580,939-149580
Veevus,10/0,Red,762820145193,939-14519
Veevus,10/0,Rusty Brown,762820148514,939-14851
Veevus,10/0,Sunburst Yellow,762820148521,939-14852
Veevus,10/0,White,762820145209,939-14520
Veevus,12/0,Black,762820145216,939-14521
Veevus,12/0,Dark Olive,762820148552,939-14855
Veevus,12/0,Dun,762820145223,939-14522
Veevus,12/0,Fluorescent Green,762820153310,939-15331
Veevus,12/0,Fluorescent Orange,762820153303,939-15330
Veevus,12/0,Fluorescent Yellow Chartreuse,762820153297,939-15329
Veevus,12/0,Light Cahill,762820145230,939-14523
Veevus,12/0,Light Olive,762820160141,939-16014
Veevus,12/0,Olive,762820158193,939-15819
Veevus,12/0,Pink,762820153679,939-15367
Veevus,12/0,Red,762820145254,939-14525
Veevus,12/0,Tan,762820148545,939-14854
Veevus,12/0,White,762820145261,939-14526
Veevus,14/0,Black,762820145278,939-14527
Veevus,14/0,Brown,762820145339,939-14533
Veevus,14/0,Dun,762820145285,939-14528
Veevus,14/0,Fluorescent Green,762820153280,939-15328
Veevus,14/0,Fluorescent Orange,762820153273,939-15327
Veevus,14/0,Fluorescent Yellow Chartreuse,762820153266,939-15326
Veevus,14/0,Gray,762820148569,939-14856
Veevus,14/0,Light Cahill,762820145292,939-14529
Veevus,14/0,Light Olive,762820157882,939-15788
Veevus,14/0,Olive,762820145308,939-14530
Veevus,14/0,Orange,762820148576,939-14857
Veevus,14/0,Pink,762820148583,939-14858
Veevus,14/0,Red,762820145315,939-14531
Veevus,14/0,Rusty Brown,762820148590,939-14859
Veevus,14/0,Tan,762820148606,939-14860
Veevus,14/0,White,762820145322,939-14532
Veevus,16/0,Black,762820145346,939-14534
Veevus,16/0,Blue Winged Olive,762820189234,939-18923
Veevus,16/0,Brown,762820145414,939-14541
Veevus,16/0,Dark Tan,762820148613,939-14861
Veevus,16/0,Dun,762820145353,939-14535
Veevus,16/0,Fluorescent Green,762820153259,939-15325
Veevus,16/0,Fluorescent Orange,762820153242,939-15324
Veevus,16/0,Fluorescent Yellow Chartreuse,762820153235,939-15323
Veevus,16/0,Gray,762820148620,939-14862
Veevus,16/0,Light Cahill,762820145360,939-14536
Veevus,16/0,Light Olive,762820157875,939-15787
Veevus,16/0,Olive,762820145377,939-14537
Veevus,16/0,Olive Dun,762820145384,939-14538
Veevus,16/0,Pink,762820153228,939-15322
Veevus,16/0,Red,762820145391,939-14539
Veevus,16/0,Rust,762820189227,939-18922
Veevus,16/0,Sunburst Yellow,762820189210,939-18921
Veevus,16/0,Tan,762820157868,939-15786
Veevus,16/0,White,762820145407,939-14540
Veevus,Power Thread 70D,Black,762820206849,939-206849
Veevus,Power Thread 70D,Brown,762820206771,939-206771
Veevus,Power Thread 70D,Chartreuse,762820206801,939-206801
Veevus,Power Thread 70D,Fluorescent Fire Orange,762820206818,939-206818
Veevus,Power Thread 70D,Fluorescent Hot Pink,762820206788,939-206788
Veevus,Power Thread 70D,Fluorescent Orange,762820206795,939-206795
Veevus,Power Thread 70D,Gray,762820206764,939-206764
Veevus,Power Thread 70D,Olive,762820206740,939-206740
Veevus,Power Thread 70D,Red,762820206757,939-206757
Veevus,Power Thread 70D,White,762820206856,939-206856
Veevus,Power Thread 140D,Black,762820158889,939-158889
Veevus,Power Thread 140D,Brown,762820158933,939-158933
Veevus,Power Thread 140D,Chartreuse,762820158964,939-158940
