zip,tier
04236,DAS
04237,DAS_EXTENDED
04238,DAS
04239,DAS
04250,DAS
04252,DAS
04253,DAS_EXTENDED
04254,DAS
04255,DAS_EXTENDED
04256,DAS
04257,DAS
04258,DAS_EXTENDED
04259,DAS
04260,DAS
04261,DAS_EXTENDED
04263,DAS
04265,DAS
04266,DAS
04267,DAS_EXTENDED
04268,DAS
04270,DAS
04271,DAS
04274,DAS
04275,DAS_EXTENDED
04276,DAS_EXTENDED
04278,DAS_EXTENDED
04280,DAS
04281,DAS
04282,DAS
04284,DAS
04285,REMOTE_US48
04286,DAS
04287,DAS_EXTENDED
04288,DAS_EXTENDED
04289,DAS_EXTENDED
04290,DAS_EXTENDED
04291,DAS
04292,DAS_EXTENDED
04294,DAS_EXTENDED
04341,DAS
04342,DAS_EXTENDED
04343,DAS
04345,DAS
04348,DAS_EXTENDED
04349,DAS_EXTENDED
04350,DAS
04351,DAS
04352,REMOTE_US48
04353,REMOTE_US48
04354,REMOTE_US48
04355,DAS
04357,DAS
04358,REMOTE_US48
04360,DAS_EXTENDED
04363,DAS_EXTENDED
04364,DAS_EXTENDED
04401,DAS
04406,REMOTE_US48
04408,DAS_EXTENDED
04410,DAS_EXTENDED
04411,DAS_EXTENDED
04413,REMOTE_US48
04414,DAS_EXTENDED
04415,DAS
04416,REMOTE_US48
04417,REMOTE_US48
04418,DAS_EXTENDED
04419,DAS
04420,DAS_EXTENDED
04421,DAS_EXTENDED
04422,DAS_EXTENDED
04423,DAS_EXTENDED
04424,DAS_EXTENDED
04426,REMOTE_US48
04427,DAS_EXTENDED
04428,DAS_EXTENDED
04429,DAS_EXTENDED
04430,DAS_EXTENDED
04431,DAS_EXTENDED
04434,DAS_EXTENDED
04435,DAS_EXTENDED
04438,DAS_EXTENDED
04441,DAS_EXTENDED
04442,DAS_EXTENDED
04443,DAS_EXTENDED
04444,DAS
04448,DAS_EXTENDED
04449,DAS_EXTENDED
04450,DAS_EXTENDED
04451,DAS_EXTENDED
04453,DAS_EXTENDED
04454,REMOTE_US48
04455,DAS_EXTENDED
04456,DAS
04457,DAS_EXTENDED
04459,DAS_EXTENDED
04460,DAS_EXTENDED
04461,DAS_EXTENDED
04462,DAS_EXTENDED
04463,DAS_EXTENDED
04464,DAS_EXTENDED
04467,DAS_EXTENDED
04468,DAS
04471,DAS_EXTENDED
04472,DAS_EXTENDED
04473,DAS
04474,DAS
04475,DAS_EXTENDED
04476,DAS_EXTENDED
04478,DAS_EXTENDED
04479,DAS_EXTENDED
04481,DAS_EXTENDED
04485,DAS_EXTENDED
04487,REMOTE_US48
04488,DAS_EXTENDED
04489,DAS_EXTENDED
04490,REMOTE_US48
04491,DAS_EXTENDED
